# Documents Missing source_url (74 total, excluding case-law)
# Generated 2026-07-01 from s3://wis-raw-bucket-c8e69250/raw/
#
# Fill in the `source_url` column. Leave blank if no public URL exists.
# Statutes: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}
# Admin rules: https://docs.legis.wisconsin.gov/code/admin_code/tax/{number}
# Constitution: https://docs.legis.wisconsin.gov/statutes/constitution
# WPAM: https://www.revenue.wi.gov/Pages/WPAM/wpam-{year}.aspx (or direct PDF)
# Gov pubs: https://www.revenue.wi.gov/DOR%20Publications/{filename}.pdf

## Statutes (25) — DONE: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}.pdf

doc_id                      | s3_key                                                          | source_url
statutes-17                 | raw/statutes-17/statutes-17.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/17.pdf
statutes-19                 | raw/statutes-19/statutes-19.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/19.pdf
statutes-33                 | raw/statutes-33/statutes-33.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/33.pdf
statutes-38                 | raw/statutes-38/statutes-38.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/38.pdf
statutes-59                 | raw/statutes-59/statutes-59.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/59.pdf
statutes-60                 | raw/statutes-60/statutes-60.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/60.pdf
statutes-61                 | raw/statutes-61/statutes-61.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/61.pdf
statutes-62                 | raw/statutes-62/statutes-62.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/62.pdf
statutes-66                 | raw/statutes-66/statutes-66.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/66.pdf
statutes-69                 | raw/statutes-69/statutes-69.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/69.pdf
statutes-70                 | raw/statutes-70/statutes-70.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/70.pdf
statutes-document-73        | raw/statutes-document-73/statutes-document-73.pdf               | https://docs.legis.wisconsin.gov/statutes/statutes/73.pdf
statutes-74                 | raw/statutes-74/statutes-74.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/74.pdf
statutes-75                 | raw/statutes-75/statutes-75.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/75.pdf
statutes-document-76        | raw/statutes-document-76/statutes-document-76.pdf               | https://docs.legis.wisconsin.gov/statutes/statutes/76.pdf
statutes-77-document        | raw/statutes-77-document/statutes-77-document.pdf               | https://docs.legis.wisconsin.gov/statutes/statutes/77.pdf
statutes-document-78        | raw/statutes-document-78/statutes-document-78.pdf               | https://docs.legis.wisconsin.gov/statutes/statutes/78.pdf
statutes-79                 | raw/statutes-79/statutes-79.pdf                                 | https://docs.legis.wisconsin.gov/statutes/statutes/79.pdf
statutes-120                | raw/statutes-120/statutes-120.pdf                               | https://docs.legis.wisconsin.gov/statutes/statutes/120.pdf
statutes-121-document       | raw/statutes-121-document/statutes-121-document.pdf             | https://docs.legis.wisconsin.gov/statutes/statutes/121.pdf
statutes-165                | raw/statutes-165/statutes-165.pdf                               | https://docs.legis.wisconsin.gov/statutes/statutes/165.pdf
statutes-200                | raw/statutes-200/statutes-200.pdf                               | https://docs.legis.wisconsin.gov/statutes/statutes/200.pdf
statutes-706-document       | raw/statutes-706-document/statutes-706-document.pdf             | https://docs.legis.wisconsin.gov/statutes/statutes/706.pdf
statutes-757-document       | raw/statutes-757-document/statutes-757-document.pdf             | https://docs.legis.wisconsin.gov/statutes/statutes/757.pdf
statutes-943                | raw/statutes-943/statutes-943.pdf                               | https://docs.legis.wisconsin.gov/statutes/statutes/943.pdf

## WPAM (16) — DONE: https://www.revenue.wi.gov/documents/wpam{YY}.pdf

doc_id                                              | s3_key                                                                                                          | source_url
wpam-wisconsin-property-assessment-manual-vol-1-2011 | raw/wpam-wisconsin-property-assessment-manual-vol-1-2011/wpam-wisconsin-property-assessment-manual-vol-1-2011.pdf | https://www.revenue.wi.gov/documents/wpam11.pdf
wpam-wisconsin-property-assessment-manual-2012      | raw/wpam-wisconsin-property-assessment-manual-2012/wpam-wisconsin-property-assessment-manual-2012.pdf            | https://www.revenue.wi.gov/documents/wpam12.pdf
wpam-wisconsin-property-assessment-manual-2013      | raw/wpam-wisconsin-property-assessment-manual-2013/wpam-wisconsin-property-assessment-manual-2013.pdf            | https://www.revenue.wi.gov/documents/wpam13.pdf
wpam-wisconsin-property-assessment-manual-2014      | raw/wpam-wisconsin-property-assessment-manual-2014/wpam-wisconsin-property-assessment-manual-2014.pdf            | https://www.revenue.wi.gov/documents/wpam14.pdf
wpam-wisconsin-property-assessment-manual-2015      | raw/wpam-wisconsin-property-assessment-manual-2015/wpam-wisconsin-property-assessment-manual-2015.pdf            | https://www.revenue.wi.gov/documents/wpam15.pdf
wpam-wisconsin-property-assessment-manual-2016      | raw/wpam-wisconsin-property-assessment-manual-2016/wpam-wisconsin-property-assessment-manual-2016.pdf            | https://www.revenue.wi.gov/documents/wpam16.pdf
